id,disciplina,subdisciplina
1,Ciencias Naturales,Matemáticas
2,Ciencias Naturales,Computación y Ciencias de la Información
3,Ciencias Naturales,Ciencias Físicas
4,Ciencias Naturales,Ciencias Químicas
5,Ciencias Naturales,Ciencias de la Tierra y Medioambientales
6,Ciencias Naturales,Ciencias Biológicas
7,Ciencias Naturales,Otras Ciencias Naturales
8,Ingeniería y Tecnología,Ingeniería Civil
9,Ingeniería y Tecnología,Ingeniería Eléctrica Electrónica e informática
10,Ingeniería y Tecnología,Ingeniería Mecánica
11,Ingeniería y Tecnología,Ingeniería Química
12,Ingeniería y Tecnología,Ingeniería de los Materiales
13,Ingeniería y Tecnología,Ingeniería Médica
14,Ingeniería y Tecnología,Ingeniería Ambiental
15,Ingeniería y Tecnología,Biotecnología Medioambiental
16,Ingeniería y Tecnología,Biotecnología Industrial
17,Ingeniería y Tecnología,Nanotecnología
18,Ingeniería y Tecnología,Otras Ingenierías y Tecnologías
19,Ciencias Médicas y de la Salud,Medicina Básica
20,Ciencias Médicas y de la Salud,Medicina Clínica
21,Ciencias Médicas y de la Salud,Ciencias de la Salud
22,Ciencias Médicas y de la Salud,Biotecnología en Salud
23,Ciencias Médicas y de la Salud,Otras Ciencias Medicas
24,Ciencias Agrícolas,"Agricultura, Silvicultura y Pesca"
25,Ciencias Agrícolas,Ciencias Animales y de la Leche
26,Ciencias Agrícolas,Ciencias Veterinaria
27,Ciencias Agrícolas,Biotecnología Agrícola
28,Ciencias Agrícolas,Otras Ciencias Agrícolas
29,Ciencias Sociales,Psicología
30,Ciencias Sociales,Economía y Negocios
31,Ciencias Sociales,Ciencias de la Educación
32,Ciencias Sociales,Sociología
33,Ciencias Sociales,Leyes
34,Ciencias Sociales,Ciencias Políticas
35,Ciencias Sociales,Geografía Social y Económica
36,Ciencias Sociales,Periodismo y Comunicaciones
37,Ciencias Sociales,Otras Ciencias Sociales
38,Humanidades,Historia y Arqueología
39,Humanidades,Idiomas y Literatura
40,Humanidades,Filosofía Ética y Religión
41,Humanidades,"Arte, Historia del Arte, Arquitectura, Música, Cine, Radio y TV"
42,Humanidades,Otras Humanidades
