nombre,n_concursados,n_aprobados,año
UNIVERSIDAD DE CHILE,117,61,2013
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,84,53,2013
UNIVERSIDAD DE CONCEPCION,42,26,2013
UNIVERSIDAD DE SANTIAGO DE CHILE,33,14,2013
UNIVERSIDAD AUSTRAL DE CHILE,26,13,2013
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,21,11,2013
UNIVERSIDAD ANDRES BELLO,21,11,2013
UNIVERSIDAD DE LA FRONTERA,14,8,2013
UNIVERSIDAD DE VALPARAISO,11,5,2013
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,9,5,2013
UNIVERSIDAD DE TALCA,5,3,2013
UNIVERSIDAD ADOLFO IBAÑEZ,4,3,2013
UNIVERSIDAD DE TARAPACA,3,3,2013
UNIVERSIDAD DIEGO PORTALES,3,3,2013
UNIVERSIDAD DEL DESARROLLO,4,2,2013
UNIVERSIDAD DE LOS ANDES,3,1,2013
UNIVERSIDAD ALBERTO HURTADO,2,1,2013
UNIVERSIDAD DE LA SERENA,2,1,2013
UNIVERSIDAD DE LOS LAGOS,1,1,2013
UNIVERSIDAD DE MAGALLANES,1,1,2013
OTRAS UNIVERSIDADES,6,0,2013
