nombre,n_concursados,n_aprobados,año
UNIV. DE CHILE,253,125,2014
PONT. UNIV. CATOLICA DE CHILE,202,118,2014
UNIV. DE CONCEPCION,108,46,2014
UNIV. DE SANTIAGO DE CHILE,74,33,2014
PONT. UNIV. CATOLICA DE VALPARAISO,69,31,2014
UNIV. AUSTRAL DE CHILE,49,22,2014
UNIV. DIEGO PORTALES,41,21,2014
UNIV. ANDRES BELLO,36,19,2014
UNIV. TECNICA FEDERICO SANTA MARIA,36,19,2014
UNIV. ALBERTO HURTADO,22,16,2014
UNIV. DE VALPARAISO,33,14,2014
UNIV. DE TALCA,33,12,2014
UNIV. DE LOS ANDES,26,9,2014
UNIV. DE LA FRONTERA,29,8,2014
UNIV. CATOLICA DEL NORTE,21,8,2014
UNIV. DEL BIO-BIO,25,7,2014
UNIV. DE LA SERENA,11,7,2014
UNIV. DEL DESARROLLO,18,5,2014
UNIV. DE ANTOFAGASTA,14,5,2014
UNIV. CATOLICA DE TEMUCO,19,4,2014
UNIV. ADOLFO IBAÑEZ,14,4,2014
UNIV. AUTONOMA DE CHILE,12,4,2014
UNIV. DE TARAPACA,10,4,2014
UNIV. DE MAGALLANES,8,4,2014
UNIV. DE LOS LAGOS,11,3,2014
UNIV. ACADEMIA DE HUMANISMO CRISTIANO,9,2,2014
UNIV. CENTRAL DE CHILE,9,2,2014
UNIV. CATOLICA DE LA STMA. CONCEPCION,6,2,2014
UNIV. ARTURO PRAT,4,2,2014
UNIV. CATOLICA DEL MAULE,15,1,2014
UNIV. DE PLAYA ANCHA CS. EDUCACION,8,1,2014
UNIV. BERNARDO O'HIGGINS,3,1,2014
UNIV. MAYOR,3,1,2014
UNIV. CATOLICA CARDENAL SILVA HENRIQUEZ,2,1,2014
UNIV. SANTO TOMAS,2,1,2014
UNIV. SAN SEBASTIAN,1,1,2014
UNIV. TECNOLOGICA METROPOLITANA,1,1,2014
UNIV. DE LA REPUBLICA,0,0,2014
UNIV. METROPOLITANA DE CS. DE LA EDUCACION,6,0,2014
UNIV. ARTES Y CIENCIAS SOCIALES,3,0,2014
UNIV. FINIS TERRAE,2,0,2014
UNIV. DE ATACAMA,1,0,2014
UNIV. DEL PACIFICO,1,0,2014
UNIV. VIÑA DEL MAR,0,0,2014
