nombre,n_concursados,n_aprobados,año
UNIV. DE CHILE,191,80,2016
PONT. UNIV. CATOLICA DE CHILE,166,70,2016
UNIV. DE CONCEPCIÓN,71,19,2016
PONT. UNIV. CATÓLICA DE VALPARAÍSO,42,17,2016
UNIV. TÉCNICA FEDERICO SANTA MARÍA,18,8,2016
UNIV. DE SANTIAGO DE CHILE,35,13,2016
UNIV. AUSTRAL DE CHILE,31,12,2016
UNIV. CATÓLICA DEL NORTE,11,3,2016
UNIV. DE VALPARAÍSO,32,11,2016
UNIV. DE ANTOFAGASTA,4,2,2016
UNIV. DE LA SERENA,2,1,2016
UNIV. DEL BÍO-BÍO,10,2,2016
UNIV. DE LA FRONTERA,36,13,2016
UNIV. DE PLAYA ANCHA CS. EDUCACIÓN,7,5,2016
UNIV. ADOLFO IBÁÑEZ,10,1,2016
UNIV. ANDRÉS BELLO,34,8,2016
UNIV. DE TALCA,21,6,2016
UNIV. MAYOR,3,1,2016
UNIV. ARTURO PRAT,2,1,2016
UNIV. DIEGO PORTALES,14,5,2016
UNIV. DE LOS ANDES,4,2,2016
UNIV. BERNARDO O'HIGGINS,2,2,2016
UNIV. CATÓLICA DE LA STMA. CONCEPCIÓN,3,1,2016
UNIV. CATÓLICA DEL MAULE,2,1,2016
UNIV. DE LOS LAGOS,2,1,2016
UNIV. ALBERTO HURTADO,15,6,2016
UNIV. AUTÓNOMA DE CHILE,17,0,2016
UNIV. DE TARAPACÁ,3,0,2016
UNIV. CATÓLICA DE TEMUCO,1,0,2016
UNIV. DE MAGALLANES,1,0,2016
UNIV. DEL DESARROLLO,1,0,2016
