nombre,n_concursados,n_aprobados,año
UNIV. DE CHILE,219,130,2011
PONT. UNIV. CATOLICA DE CHILE,160,103,2011
UNIV. DE CONCEPCION,93,45,2011
UNIV. DE SANTIAGO DE CHILE,66,31,2011
PONT. UNIV. CATOLICA DE VALPARAISO,54,27,2011
UNIV. AUSTRAL DE CHILE,47,24,2011
UNIV. TECNICA FEDERICO SANTA MARIA,28,17,2011
UNIV. DE TALCA,33,15,2011
UNIV. CATOLICA DEL NORTE,24,9,2011
UNIV. DE VALPARAISO,24,8,2011
UNIV. ANDRES BELLO,19,8,2011
UNIV. DE TARAPACA,16,7,2011
UNIV. DE LA SERENA,14,7,2011
UNIV. ADOLFO IBAÑEZ,13,7,2011
UNIV. DIEGO PORTALES,15,6,2011
UNIV. DE ANTOFAGASTA,13,6,2011
UNIV. ALBERTO HURTADO,11,6,2011
UNIV. DE LOS ANDES,10,6,2011
UNIV. DE LA FRONTERA,17,4,2011
UNIV. CATOLICA DE TEMUCO,9,4,2011
UNIV. DE LOS LAGOS,15,3,2011
UNIV. DEL BIO-BIO,12,3,2011
UNIV. ACADEMIA DE HUMANISMO CRISTIANO,4,3,2011
UNIV. CATOLICA DEL MAULE,7,2,2011
UNIV. METROPOLITANA DE CS. DE LA EDUCACION,5,2,2011
UNIV. DE MAGALLANES,4,2,2011
UNIV. TECNOLOGICA METROPOLITANA,3,2,2011
UNIV. CATOLICA DE LA STMA. CONCEPCION,9,1,2011
UNIV. CENTRAL DE CHILE,6,1,2011
UNIV. DEL DESARROLLO,3,1,2011
UNIV. DE PLAYA ANCHA CS. EDUCACION,3,0,2011
UNIV. DE ATACAMA,2,0,2011
UNIV. SANTO TOMAS,1,0,2011
UNIV. BOLIVARIANA,0,0,2011
UNIV. CS. DE LA INFORMATICA,0,0,2011
UNIV. DEL PACIFICO,0,0,2011
OTRAS UNIVERSIDADES,17,0,2011
