Sector:,Activity:
Primary sector,Agriculture and farming
Primary sector,Mining
Primary sector,Forestry
Primary sector,Grazing
Primary sector,Hunting
Primary sector,Fishing
Secondary sector,Metal working and smelting
Secondary sector,Automobile production
Secondary sector,textile production
Secondary sector,Chemical and engineering industries
Secondary sector,Aerospace manufacturing
Secondary sector,Energy utilities
Secondary sector,Engineering
Secondary sector,Construction and shipbuilding
Tertiary sector,Retail and wholesale sales
Tertiary sector,Transportation
Tertiary sector,Distribution
Tertiary sector,Entertainment
Tertiary sector,Restaurants
Tertiary sector,Clerical services
Tertiary sector,Media
Tertiary sector,Tourism
Tertiary sector,Insurance
Tertiary sector,Banking
Tertiary sector,Healthcare
Tertiary sector,Law
Quaternary sector,Government
Quaternary sector,Culture
Quaternary sector,Libraries
Quaternary sector,Scientific research
Quaternary sector,Education
Quaternary sector,Information technology
Other,Other
